15:56:09 INFO  testCases.RegisterTest - -->[2023-03-07/15:56:09] Starting the test automation <--
15:56:17 INFO  testCases.RegisterTest - * Starting RegisterTest-TC001_verify_register_link *
15:56:18 INFO  testCases.RegisterTest - Clicked on Register link
15:56:18 INFO  testCases.RegisterTest - Validating the link
15:56:18 INFO  testCases.RegisterTest - Test is passed
15:56:18 INFO  testCases.RegisterTest - * finished RegisterTest-TC001_verify_register_link *
15:56:18 INFO  testCases.RegisterTest - * Starting RegisterTest-TC004_verify_signUp_functionality *
15:56:18 INFO  testCases.RegisterTest - Filling the fields
15:56:18 INFO  testCases.RegisterTest - Username entering
15:56:18 INFO  testCases.RegisterTest - Password entering
15:56:23 INFO  testCases.RegisterTest - Register button clicking
15:56:24 INFO  testCases.RegisterTest - Validating the register function
15:56:24 INFO  testCases.RegisterTest - Loging out
15:56:24 INFO  testCases.RegisterTest - Test is passed
15:56:24 INFO  testCases.RegisterTest - * finished RegisterTest-TC004_verify_signUp_functionality *
15:56:25 INFO  testCases.RegisterTest - -->[2023-03-07/15:56:25] Finished test automation <--
15:56:25 INFO  testCases.LoginTest - -->[2023-03-07/15:56:25] Starting the test automation <--
15:56:32 INFO  testCases.LoginTest - * Starting LoginTest-TC005_verify_login_with_valid_data *
15:56:32 INFO  testCases.LoginTest - Entering username
15:56:32 INFO  testCases.LoginTest - Entering password
15:56:32 INFO  testCases.LoginTest - Clicking the login button
15:56:33 INFO  testCases.LoginTest - Validating the login functionality
15:56:33 INFO  testCases.LoginTest - Test is passed
15:56:33 INFO  testCases.LoginTest - * finished LoginTest-TC005_verify_login_with_valid_data *
15:56:34 INFO  testCases.LoginTest - -->[2023-03-07/15:56:34] Finished test automation <--
15:56:34 INFO  testCases.AccountOverviewTest - -->[2023-03-07/15:56:34] Starting the test automation <--
15:56:41 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC007_verify_account_overview *
15:56:41 INFO  testCases.AccountOverviewTest - Registering new user
15:56:43 INFO  testCases.AccountOverviewTest - Opened account overview page
15:56:46 INFO  testCases.AccountOverviewTest - Validating the total balance
15:56:46 INFO  testCases.AccountOverviewTest - Test is passed
15:56:46 INFO  testCases.AccountOverviewTest - * finished AccountOverviewTest-TC007_verify_account_overview *
15:56:46 INFO  testCases.AccountOverviewTest - * Starting AccountOverviewTest-TC008_verify_create_new_Acc *
15:56:46 INFO  testCases.AccountOverviewTest - Creating new account
15:56:50 INFO  testCases.AccountOverviewTest - Selected account type from the dropdown
15:56:53 INFO  testCases.AccountOverviewTest - Selected account number from the dropdown
15:56:53 INFO  testCases.AccountOverviewTest - Clicking the Create new account number button
15:56:56 INFO  testCases.AccountOverviewTest - Validating the success message
